sentiment,text
Negative,RT @monaeltahawy: Has any candidate received a word from God?! Presidential hopefuls?! This is America?! Christian Brotherhood of America #…
Negative,RT @GallagherPreach: It is just me or can anyone else not wait for SNL this weekend for the debate coverage? #GOPdebates #GOPdebate
Negative,@Foxnews - Why has Cruz been disrespected? Why has Trump been disrespected. Seems Fox likes Rhinos these days! #GOPDebates
Neutral,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Negative,RT @jordiemojordie: YALL BETTER NOT LIE ABOUT GOD. S/he didn't talk to all of yall. #GOPDebates
Negative,"If you want to defend life, Cruz, make sure nobody dies during your administration if you're President! #GOPDebates"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"Dear Ted Cruz, what do scriptures say about you lying about our very good President? That's what I thought #GopDebates"
Neutral,RT @AndrewThrasher: Kasich had a strong start to the debate but lack of questions led him to fade into the background. #GOPDebates
Negative,RT @BettyFckinWhite: We must repeal and replace Benghazi. #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,That dude pics was totally taken off of his tinder profile #GOPDebates
Negative,"Senator Cruz, any word from God? Just spit out my tequila. Damn you Megyn Kelly, it was the expensive kind. #GOPDebates"
Neutral,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Neutral,Now we are down to the real nitty-gritty how is GOD helping you candidates oh please tell us #GOPDebates
Negative,This is dumb. #GOPDebates
Negative,"Fox News: God hasn't been in touch lately and we are really getting worried, he doesn't get along with people. #GOPDebates"
Positive,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
Negative,RT @NickSylian: From today to the time the next president has one year in office #22aDay will empty that arena. #GOPDebates #IAVA
Neutral,RT @RobsRamblins: Voices in my head question. #WordFromGodQuestion #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Neutral,Has any candidate received a word from God?! Presidential hopefuls?! This is America?! Christian Brotherhood of America #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"Final question for #DonaldTrump your sons killed big game, Please comment on #CecilTheLion. #GOPDebates"
Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Neutral,Can someone please send me a highlight of the #GOPDebates tomorrow? It's my old lady bed time. #kthanksbye
Positive,RT @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. #GOPDebate #GOPDeb…
Neutral,YOU SHALL KNOW THEM BY THEIR FRUITS. Ted Cruz #GOPDebates #YouCrazy
Negative,"Seriously, that's the last question!!???? #GOPDebates #myeyesjustrolledouttamyhead"
Negative,"RT @MzDivah67: From watching the #GOPDebates it seems to me like #BlackLivesDontMatter  Bashing PBO over his ""failed policies"" is more impo…"
Positive,"RT @cat_1012000: Thanks @FoxTV for holding the #GOPDebates Now millions of people KNOW you're no better or balanced then MSN, ABC, CBS... #…"
Neutral,We must repeal and replace Benghazi. #GOPDebates
Positive,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
Negative,Could you see some of these candidates working with the J2? Like. Nawl. #gopdebates
Negative,RT @jsc1835: #GOPDebates  I'd like to see this bunch of losers work a construction until they're 70 years old.  #Delusional
Negative,"Church and state made up, yall. They are closer than ever #GOPdebates"
Negative,"I have to take a shower after this.  I am covered in ""pandering"" #GOPDebates"
Negative,Have you received a word from God? Oh Lawd...Here we go...and Yall know I love the Lawd but this is a mess #GOPDebate #GOPdebates #KKKorGOP
Negative,Anyone who uses God's name for hate is a wolf in sheep's clothing. Matthew 23:1-15 #Cruz and #Huckabee are not men of God! #GOPDebates
Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,Trump is going to claim God gave him a campaign contribution. #GOPDebates
Negative,"RT @MzDivah67: From watching the #GOPDebates it seems to me like #BlackLivesDontMatter  Bashing PBO over his ""failed policies"" is more impo…"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Neutral,I watched John Kasich eat a pre-debate steak! #meat #GOPDebates #GOPTeens
Negative,Wait! Wuuuuuuuut? This was actually a question? I can't 🙈 #GOPDebates
Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Neutral,"RT @DougBenson: ""I'll stop illegal immigration by closing all the bridges."" -C crispie #GOPDebates"
Negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Positive,Would love to have seen it!   Seemed better than all these guys! #GOPdebates https://t.co/aawvUQqQRB
Positive,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
Negative,"RT @MzDivah67: From watching the #GOPDebates it seems to me like #BlackLivesDontMatter  Bashing PBO over his ""failed policies"" is more impo…"
Neutral,RT @NickSylian: From today to the time the next president has one year in office #22aDay will empty that arena. #GOPDebates #IAVA
Negative,"Oh, Ted Cruz is still talking. I think I needed more ice cream #GOPdebates"
Neutral,Voices in my head question. #WordFromGodQuestion #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @Pudingtane: #gopdebates questions r worded like personal attacks, including half truths. They stated cops were targeting blacks. That's…"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Positive,RT @GallagherPreach: It is just me or can anyone else not wait for SNL this weekend for the debate coverage? #GOPdebates #GOPdebate
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"Really, that's the closing question? WHY?!?! #GOPDebates"
Negative,"No one cares about your daddy issues, Cruz #GOPDebates"
Negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Neutral,"How many of these guys now wish they would have been in the 5 o'clock debate, instead of this one? #AllButOne #GOPdebates"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,#GOPDebates and there goes the 1st amendment.
Neutral,"So when my imaginary friend in the sky rang me up yesterday...
#GOPDebates #Derpbate #FoxNews #FoxDebate"
Negative,"RT @TheRachelFisher: You guys, separation of church and state is also in the constitution.#GOPDebates"
Negative,"Why the fluff is this a legitimate question? Like, First Amendment or separation of church &amp; state? #GOPDebates"
Negative,YALL BETTER NOT LIE ABOUT GOD. S/he didn't talk to all of yall. #GOPDebates
Negative,"RT @cat_1012000: Thanks @FoxTV for holding the #GOPDebates Now millions of people KNOW you're no better or balanced then MSN, ABC, CBS... #…"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…"
Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
Negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Negative,THIS FUCKING QUESTION. THEYRE ASKING THIS TO POTENTIAL PRESIDENTIAL NOMINEES. HOLY SHIT #GOPDebates
Negative,RT @halhefner: The creepy blond commentator just promised us that #god is coming to the #GOPdebates after the break. http://t.co/E6T5ZG8xwp
Neutral,Now we're asking them if they talk to God?  #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,RT @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Positive,"RT @steakNstiffarms: I'm imagining Trump giving a State of the Union, and yeah ok maybe I'd vote for him #GOPDebates"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,Is Megan Kelly asking a troll question? #GOPdebates
Negative,"RT @PBoylen: @ScottWalker Russia &amp; China know more about Hillary Clinton's emails than our own Congress! Boom!
#RedNationRaising #GOPDebates"
Neutral,A trailer about that terrible movie No Escape airing during these #GOPDebates feels very apt.
Negative,RT @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Positive,RT @BethBehrs: Classy. #GOPDebates  https://t.co/pZpyl1rdU6
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"Dear friends, it may seem like this is fun to me but I'm really mad about how Republicans treat people who can't afford to live. #GopDebates"
Negative,Kasich had a strong start to the debate but lack of questions led him to fade into the background. #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Neutral,U.S. military spending vs other nations via @washingtonpost http://t.co/vBPXF8hqRF #GOPDebates http://t.co/StS4TNx3Kw
Negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Neutral,RT @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. #GOPDebates
Neutral,They've all seen the burning bush? #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates
Negative,"RT @RedStateDems: I can barely stay awake watching this thing, but I don't want to miss the Rose Ceremony. #GOPdebates http://t.co/XHsJ9d4Q…"
Negative,@jamiaw @realDonaldTrump #GOPDebates see previous tweet
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Neutral,One word for #GOPDebates #bingo!
Neutral,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Neutral,#Lottabody and end wraps. #ChrisChristie #GOPDebates
Neutral,GOD and dinosaurs. #GOPDebates #foxnewsdebate
Negative,RT @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. #GOPDebates
Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Negative,RT @tmservo433: Chris Christie: I want an unbelievably sized military. To intimidate people. Not at all because I haven't seen my penis in …
Negative,"It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,This might be the biggest problem with our budget maybe kind of (does not include VA benefits) #GOPDebates http://t.co/PiJKAW96i1
Neutral,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
Positive,"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…"
Negative,Fox loves Bush! Ugh! Give me Cruz!! #GOPDebates #GOPDebate #TedCruz
Neutral,What Roxy Girl thinks of the #GOPDebates... @ Kaua'i https://t.co/tLCi4GEZOF
Neutral,"RT @PBoylen: @ScottWalker Russia &amp; China know more about Hillary Clinton's emails than our own Congress! Boom!
#RedNationRaising #GOPDebates"
Positive,@ChrisChristie You are making me even more proud of New Jersey!#GOPDEBATES
Neutral,Where are the alumni from top foreign affairs programs and military schools? We need you. Help us! Please. #GOPdebates
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Negative,It is just me or can anyone else not wait for SNL this weekend for the debate coverage? #GOPdebates #GOPdebate
Negative,"RT @cat_1012000: Thanks @FoxTV for holding the #GOPDebates Now millions of people KNOW you're no better or balanced then MSN, ABC, CBS... #…"
Neutral,"RT @PBoylen: @ScottWalker Russia &amp; China know more about Hillary Clinton's emails than our own Congress! Boom!
#RedNationRaising #GOPDebates"
Negative,"RT @laurenreeves: ""Stay tuned for closing statements, final thoughts, and God."" And then I turned off the TV, I'm good. #GOPDebates"
Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
Positive,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
Negative,RT @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. #GOPDebates
Negative,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Negative,"RT @PBoylen: @ScottWalker Russia &amp; China know more about Hillary Clinton's emails than our own Congress! Boom!
#RedNationRaising #GOPDebates"
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Neutral,#FACT: Obama caused that drought not the GOP @BHowl_  http://t.co/OkpZQkQhKJ #GOPDebates #pjnet
Positive,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
Positive,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
Negative,"RT @RedStateDems: I can barely stay awake watching this thing, but I don't want to miss the Rose Ceremony. #GOPdebates http://t.co/XHsJ9d4Q…"
Negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Negative,"#GOPDebates

OH God ... How shall we Fucker Up the Bible tonight?

http://t.co/UzpmKFOSyQ

.@rudepundit .@JohnFugelsang #UniteBIue #p2 #TCOT"
Negative,Chris Christie: I want an unbelievably sized military. To intimidate people. Not at all because I haven't seen my penis in years #GOPdebates
Negative,#gopdebates must be one of the last political forums in developed nations where #god is invoked so frequently. #backasswards
Negative,"RT @laurenreeves: ""Stay tuned for closing statements, final thoughts, and God."" And then I turned off the TV, I'm good. #GOPDebates"
Negative,RT @tonibirdsong: Oh @RealBenCarson you are brilliant &amp
Neutral,RT @ericstonestreet: Trump has Cam hands. #GOPDebates
Negative,Ok now #foxnews not allowing @tedcruz to rebut!!  So not happy right now #GOPDebates
Negative,"RT @DougBenson: ""I'll stop illegal immigration by closing all the bridges."" -C crispie #GOPDebates"
Neutral,#GOPDebate #GOPDebates No talk about the govt control via gun control?
Negative,"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…"
Negative,"I guess they'll say the winner is Trump, because you know Trump is like the card games where something trumps another.  #GOPDebates"
Neutral,".@skynews keeps calling Trump ""Billionaire Reality TV Star"", and it's incredible. #GOPDebates"
Negative,"""We've been lied to, we need a strong leader who will tell the truth."" -@ChrisChristie #GOPdebates 🇺🇸"
Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
Negative,"From watching the #GOPDebates it seems to me like #BlackLivesDontMatter  Bashing PBO over his ""failed policies"" is more important to them"
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Neutral,"RT @PBoylen: @ScottWalker Russia &amp; China know more about Hillary Clinton's emails than our own Congress! Boom!
#RedNationRaising #GOPDebates"
Neutral,"And eleven years later, Reagan rose from the dead at the #GOPDebates. #StaytunedforGod"
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Negative,"RT @monaeltahawy: Oh boy: ""social issues"" = GOP code for who can control women's bodies &amp; sexuality the most. Hold on tight, TwitterLand  #…"
Negative,@FoxNews shutting @SenTedCruz out of debate. Has not spoken In 30 minutes. Has to beg them for a chance to say anything !   #GOPDebates
Negative,"""Remember, whatever you do, don't say that you agree with Dr. Carson....Ah Fuck!!!""-Christie's debate coach. #GOPDebates"
Negative,RT @JaxGotJokes: Phew. Looks like no democrats are gonna vote republican #GOPdebates
Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
Negative,"Why put commercials in the #GOPDebates? Don't they have little time already to NOT answer questions directly? 

#BNRDebates"
Negative,"RT @laurenreeves: ""Stay tuned for closing statements, final thoughts, and God."" And then I turned off the TV, I'm good. #GOPDebates"
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Neutral,"*""Jesus Walks"" starts playing*

""Buh gawd!!! That's God's entry music!!!"" #GOPDebates"
Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Negative,The creepy blond commentator just promised us that #god is coming to the #GOPdebates after the break. http://t.co/E6T5ZG8xwp
Positive,Huckabee plays bass right? He must play a Steinberger. I just know it. #gopdebates
Negative,When you don't wanna be in politics but you wanna see the shit show that predicates an election you watch #GOPDebates.
Negative,@GovMikeHuckabee You have no clue as to the kind of hard work &amp
Negative,So…what are the foreign news services going to use for their segments tonight/tomorrow? #GOPDebates #Embarrassing
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Negative,@keithalink Isn't it fun?! I'm wondering who's going to be kicked off the island? These guys are hilarious! #GOPDebates #StuporBowl
Negative,RT @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. #GOPDebates
Negative,@jamiaw @realDonaldTrump #GOPDebates what's so funny about God and why the patronizing tone? Is it because media wants to demonize GOD?
Negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Negative,Hopefully we'll find out where God stands on the taxing-pimps issue. #GOPDebates
Neutral,"According to @megynkelly, the Good Lord himself will be making an appearance after the break. #primetime #GOPDebates"
Negative,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates"
Negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Neutral,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
Negative,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates"
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Negative,The run around is this debate is astonishing. #GOPDebates why is @FoxNews doing this?
Negative,"RT @cat_1012000: Thanks @FoxTV for holding the #GOPDebates Now millions of people KNOW you're no better or balanced then MSN, ABC, CBS... #…"
Negative,Had enough...going to bed #GOPDebates http://t.co/7DO3VJ9XcI
Negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Neutral,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Negative,RT @cloudypianos: I'm just waiting for them all to accidentally eat each other #GOPDebates
Positive,That makes sense Ron Paul. #GOPDebates #GOPDebate stop giving money to enemies.
Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Positive,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates
Negative,"So now the Fox moderators are going to bring ""God"" into the next debate segment? Please....spare me....spare us.  #GOPDebates"
Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
Negative,".@AnnTBush @OnlyTruthReign
Cancel primaries. Fox Party set up/anointed their man Jeb Bush
#GOPDebates #CantTrustABush http://t.co/bgzYsySfSU"
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Neutral,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Negative,"Next time we get Werner Herzog to host the GOP Debates. You know, so its less awkward. #GOPDebates"
Negative,"RT @laurenreeves: ""Stay tuned for closing statements, final thoughts, and God."" And then I turned off the TV, I'm good. #GOPDebates"
Negative,RT @Sweetpea593: #GOPDebates they won't let #TedCruz speak!
Negative,This guy... #GoAway #GOPDebates https://t.co/Ifrw11Tfwo
Negative,RT @libertywwnf: Finally a question for Cruz. Iranian deal terrible Russia cyber attack. Reagan made Iran release prisoners #GOPDebates
Negative,I honestly miss Mitt Romney now. All these buffoons are out of their minds. #GOPDebates
Negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Negative,"RT @laurenreeves: ""Stay tuned for closing statements, final thoughts, and God."" And then I turned off the TV, I'm good. #GOPDebates"
Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Neutral,"RT @Popehat: #GOPDebates Paul: ""I want to collect more records from terrorists and fewer from Americans."""
Negative,These #GOPDebates are a joke and the whole world is laughing at them rn
Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
Positive,I want what Rand Paul is having #GOPDebates
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Negative,Just began recording final #DailyShow on another TV.  A retrospective was already in progress!  Darn you #GopDebates #GOPDebacle #minnows
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Negative,"RT @PBoylen: @ScottWalker Russia &amp; China know more about Hillary Clinton's emails than our own Congress! Boom!
#RedNationRaising #GOPDebates"
Negative,Are they going to let Chris Wallace Speak or let the sychophant continue to look at herself in the camera before asking a q? #GOPDebates
Positive,RT @UnitedCitizen01: #FOXNEWS  #GOPDebates  @BenCarson OWNS this Debate when it comes to SMART
Negative,RT @SpudLovr: #True Number of #Walker16 aides convicted of felonies higher than number of WI Voter Impersonation cases in past 30 yrs #wiun…
Positive,"Perfect,sweet to the point no time hogging. Go Rand! #GOPdebates"
Negative,Chris Christie - You want to increase our military troops?  While the GOP in Congress vote AGAINST veterans...  #GOPDebates
Negative,"So, was Huckabee trying to say the military decreased, because troops didn't want to serve alongside gay people? #GOPDebates"
Negative,RT @monaeltahawy: One question on one of the most important and urgent movements in the US today &amp
Negative,Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
Negative,"RT @Erika_Harvey_: ""Way to not answer the question""

-my dad at the TV all night #GOPdebates"
Negative,Hurry #GOPDebates! Watching #BigBrother in 13 minutes!
Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Negative,Pataki is Pro-Choice and for me he is disqualified as a GOP candidate. #GOPDebates
Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Negative,I can't handle 15 more of these #GOPDebates.
Negative,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Negative,"Wait, is God coming to the #GOPDebates ?"
Positive,"RT @RWSurferGirl: Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates"
Negative,#GOPDebates Megyn Kelly and Chris Wallace SUCK!
Negative,"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…"
Negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
Negative,"""Stay tuned for closing statements, final thoughts, and God."" And then I turned off the TV, I'm good. #GOPDebates"
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Negative,"@ScottWalker Russia &amp; China know more about Hillary Clinton's emails than our own Congress! Boom!
#RedNationRaising #GOPDebates"
Neutral,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
